IdEntidad;GÇnero;Fecha nacimiento;Localidad;Provincia;C¢digo postal;Fidelidad;Fecha entrega;Fecha matriculaci¢n;Fecha venta;Fecha apertura;Km £ltima OR;Gama;Modelo;Versi¢n;Motor;Color
9869053#1;male;;SEVILLA;Sevilla;41002;INFIEL;;06/07/2005;06/07/2005;17/12/2018;256530;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;NEGRO MICA M
9868981#1;male;;SEVILLA;Sevilla;41018;FIEL;07/04/2017;07/04/2017;18/12/2017;21/04/2022;48999;VERSO;VERSO 115D Advance 7 Plazas;2017;1.6;Blanco Classic
9868505#1;male;;SEVILLA;Sevilla;41015;INFIEL;30/07/2004;30/07/2004;30/07/2004;04/01/2019;154521;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;AZUL OSCURO MM
9853058#1;female;12/01/1974;LOS ROSALES;Sevilla;41330;POT INFIEL;08/02/2018;08/02/2018;22/01/2019;03/05/2021;70280;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2018;2.5;Blanco Classic
985216#1;male;11/02/1985;DOS HERMANAS;Sevilla;41701;FIEL;;30/04/2019;30/04/2019;11/04/2022;38108;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Rojo Tokio
9851491#1;female;05/06/1992;SEVILLA;Sevilla;41006;FIEL;09/02/2018;09/02/2018;15/01/2019;25/02/2022;50741;AURIS;AURIS hybrid Active;2018;1.8;Azul Denim
9851334#1;male;;CANTILLANA;Sevilla;41320;INFIEL;;25/02/2005;25/02/2005;15/01/2019;1;AVENSIS;AVENSIS 1.8 WG SOL;2003;1.8;AZUL OSCURO MM
9851334#1;male;;CANTILLANA;Sevilla;41320;INFIEL;;29/12/2005;29/12/2005;07/12/2018;281155;AVENSIS;AVENSIS 2.0 D4D 116 4P SOL;2003;2.0 High;NEGRO MICA M
9851093#1;female;24/02/1958;MAIRENA DEL ALJARAFE;Sevilla;41927;FIEL;16/01/2019;18/01/2019;16/01/2019;15/02/2022;17378;YARIS;YARIS hybrid Active;2020;1.5;Rojo Classic
9850786#1;male;;ALCALµ DEL R÷O;Sevilla;41200;INFIEL;;22/11/2004;22/11/2004;03/01/2019;223042;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;ROJO OSCURO MM
9850496#1;male;;VILLAMANRIQUE DE LA CONDESA;Sevilla;41850;FIEL;23/10/2014;23/10/2014;23/10/2014;18/12/2018;167607;HILUX;HILUX D-4D DOBLE CAB. GX;2013;2.4;Blanco Classic
9850496#1;male;;VILLAMANRIQUE DE LA CONDESA;Sevilla;41850;FIEL;16/03/2021;22/03/2021;16/03/2021;10/03/2022;24224;LAND CRUISER;LAND CRUISER 204D VXL 3P T/A;2020;2.8;Negro Cosmo
9850496#1;male;;VILLAMANRIQUE DE LA CONDESA;Sevilla;41850;FIEL;14/01/2016;30/12/2015;30/12/2015;15/10/2019;1;RAV 4;RAV4 150D 4X2 ADVANCE;2016;2.0D;Gris Grafito
9840880#1;male;;PEDRO ABAD;C¢rdoba;14630;INFIEL;;;;11/12/2018;196737;AVENSIS;AVENSIS 2.0 D4D 116 4P SOL;2003;2.0 High;AZUL OSCURO MM
9838199#1;male;24/09/1975;ALCALµ DE GUADAIRA;Sevilla;41500;FIEL;21/06/2017;21/06/2017;08/01/2019;14/06/2022;66063;YARIS;YARIS HYBRID FEEL! 5P;2017;1.5;Blanco Classic
9837664#1;female;;SEVILLA;Sevilla;41010;INFIEL;;;;04/06/2019;295005;AVENSIS;AVENSIS 2.0 D4D 116 4P SOL;2003;2.0 High;BURDEOS MICA M
9827992#1;female;24/12/1981;GELVES;Sevilla;41120;FIEL;15/05/2020;18/05/2020;15/05/2020;03/12/2021;49022;PROACE;PROACE VAN L2 2.0 120 BUSINESS;2020;2.0 120D;Blanco Arctic
9822723#1;female;11/06/1984;BENACAZ‡N;Sevilla;41805;FIEL;08/02/2018;08/02/2018;21/01/2019;06/07/2022;1;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2018;2.5;Blanco Classic
9820731#1;female;22/12/1987;C‡RDOBA;C¢rdoba;14010;INFIEL;03/11/2014;03/11/2014;10/01/2019;09/01/2019;41254;YARIS;YARIS 70 City 5P;2015;1.0;Blanco Classic
9820372#1;male;27/12/1979;CAMAS;Sevilla;41900;FIEL;24/01/2019;28/01/2019;24/01/2019;27/06/2022;39948;PROACE VERSO;Proace Family 2.0D L1 150CV;2019;2.0 150D;Negro Misty
9814155#1;male;27/02/1952;SEVILLA;Sevilla;41014;FIEL;14/01/2019;15/01/2019;14/01/2019;14/12/2021;31571;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Blanco Perlado
98115#1;male;21/03/1975;SEVILLA;Sevilla;41005;FIEL;20/06/2018;29/05/2018;29/05/2018;29/06/2022;50025;RAV 4;RAV4 hybrid 4x2 Feel;2018;2.5;Blanco Perlado
9794052#1;male;13/05/1962;MOR‡N DE LA FRONTERA;Sevilla;41530;FIEL;;30/04/2019;30/04/2019;09/05/2022;96482;RAV 4;RAV4 HYBRID 4X2 EXECUTIVE;2020;2.5;Blanco Perlado
9792646#1;female;;CORRALES;Huelva;21120;INFIEL;;08/11/2004;08/11/2004;17/12/2018;135921;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;PLATA MT
978066#1;male;16/06/1971;SEVILLA;Sevilla;41019;FIEL;;17/08/2020;17/08/2020;25/08/2021;10439;COROLLA SEDAN;Corolla SD 125H e-CVT Feel!;2020;1.8;Plata
9777059#1;male;;SEVILLA;Sevilla;41013;INFIEL;;24/05/2005;24/05/2005;08/08/2019;161215;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;AZUL OSCURO MM
9776715#1;male;04/08/1984;SEVILLA;Sevilla;41006;POT INFIEL;04/03/2015;04/03/2015;24/01/2019;03/03/2021;1;YARIS;YARIS hybrid Active;2015;1.5;Blanco Classic
9776043#1;female;;CORIA DEL R÷O;Sevilla;41100;FIEL;;;;17/09/2021;178919;LAND CRUISER;LAND CRUISER D-4D 5P MANUAL;2003;3.0;PLATA M
9775718#1;female;07/09/1977;GIBRALE‡N;Huelva;21500;POT INFIEL;11/10/2016;11/10/2016;28/12/2018;15/03/2021;70671;AURIS;AURIS hybrid Active;2016;1.8;Blanco Perlado
9775092#1;female;07/12/1977;Marchena;Sevilla;41620;POT INFIEL;07/06/2017;07/06/2017;03/01/2019;22/04/2021;105493;AVENSIS;AVENSIS 150D Advance;2016;2.0D;Abisal
9775009#1;female;11/05/1994;SEVILLA;Sevilla;41020;FIEL;28/10/2015;28/10/2015;28/12/2018;04/04/2022;82230;AURIS;AURIS hybrid Active;2015;1.8;Azul Denim
9774933#1;male;;ALCALµ DE GUADAIRA;Sevilla;41500;INFIEL;;02/05/2006;30/04/2006;27/12/2018;230831;COROLLA SEDAN;COROLLA 1.4 D4D 90 SD LUNA;2006;1.4 High;PLATA MICA MT
977480#1;male;01/05/1984;DOS HERMANAS;Sevilla;41702;INFIEL;;31/05/2019;31/05/2019;02/12/2020;9174;COROLLA SEDAN;Corolla SD 125H e-CVT Feel!;2019;1.8;Gris Celestite
9774761#1;male;;SEVILLA;Sevilla;41013;FIEL;30/05/2018;30/05/2018;27/12/2018;19/10/2021;24252;YARIS;YARIS hybrid Active;2018;1.5;Azul NÇbula
9773958#1;female;;Marchena;Sevilla;41620;INFIEL;;01/03/2006;28/02/2006;27/12/2018;166282;VERSO;COROLLA VERSO 1.8 7PZ SOL;2006;1.8;Negro Mica
9773587#1;female;10/02/1959;SEVILLA;Sevilla;41007;FIEL;14/06/2017;14/06/2017;04/01/2019;07/03/2022;63010;YARIS;YARIS hybrid Active;2017;1.5;Blanco Classic
9758274#1;male;29/04/1986;SEVILLA;Sevilla;41010;FIEL;07/06/2017;07/06/2017;28/12/2018;19/11/2021;103641;AVENSIS;AVENSIS 150D Advance;2016;2.0D;Abisal
9757967#1;female;16/12/1975;LOS PALACIOS Y VILLAFRANCA;Sevilla;41720;FIEL;;28/12/2018;28/12/2018;21/12/2021;39386;AURIS TOURING SPORTS;AURIS hybrid TS Active;2019;1.8;Blanco Classic
9757619#1;female;06/06/1991;ESPARTINAS;Sevilla;41807;FIEL;;28/12/2018;28/12/2018;01/10/2021;9723;YARIS;Yaris 110 Manual 5P Active;2020;1.5;Rojo Classic
9757304#1;female;09/08/1969;SEVILLA;Sevilla;41011;FIEL;;28/12/2018;28/12/2018;21/12/2021;29333;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Gris Diamante
9756088#1;male;23/12/1986;SEVILLA;Sevilla;41020;FIEL;;27/12/2018;27/12/2018;14/03/2022;1;YARIS;YARIS HYBRID FEEL! 5P;2020;1.5;Rojo Classic
9755860#1;female;23/08/1958;DOS HERMANAS;Sevilla;41703;FIEL;26/09/2018;26/09/2018;27/12/2018;10/11/2021;90379;RAV 4;RAV4 HYBRID 4X4 ADVANCE;2018;2.5;Rojo Tokio
9755442#1;female;;SEVILLA;Sevilla;41020;INFIEL;;11/03/2009;08/04/2010;20/11/2018;110396;AURIS;AURIS 1.4 90 5P LUNA;2007;1.4 High;Plata Metal
9729438#1;male;;;;;INFIEL;;30/09/2004;30/09/2004;24/12/2018;284227;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;AZUL CLARO MM
9724379#1;male;29/07/1953;CARMONA;Sevilla;41410;FIEL;29/03/2017;29/03/2017;22/12/2020;07/02/2022;43621;AURIS;AURIS hybrid Active;2017;1.8;Negro Azabache
9724102#1;male;18/06/1959;SEVILLA;Sevilla;41013;INFIEL;03/11/2014;03/11/2014;28/12/2018;14/12/2020;72955;YARIS;YARIS 70 City 5P;2015;1.0;Blanco Classic
9723267#1;male;23/10/1962;SEVILLA;Sevilla;41015;FIEL;10/06/2022;13/06/2022;10/06/2022;06/06/2022;5;TOYOTA C-HR;Toyota C-HR  180H e-CVT 5P GR-;2022;2.0 High;Bi-tono Gris µgata y Techo negro
9722952#1;female;14/08/1996;BENACAZ‡N;Sevilla;41805;FIEL;28/03/2019;29/03/2019;28/03/2019;14/03/2022;26111;YARIS;YARIS HYBRID FEEL! BI-TONO;2020;1.5;Bi-tono Blanco Gris
9722913#1;male;06/10/1943;SEVILLA;Sevilla;41007;FIEL;15/01/2019;16/01/2019;15/01/2019;24/05/2022;68655;PROACE VERSO;Proace Family 2.0D L1 150CV;2019;2.0 150D;Gris Falcon
9722172#1;male;;SEVILLA;Sevilla;41004;FIEL;11/06/2018;29/05/2018;29/05/2018;15/02/2022;123606;HILUX;HILUX 2.4D 150 CABINA EXTRA GX;2018;2.4;Blanco Classic
9704698#1;female;;SEVILLA;Sevilla;41020;INFIEL;;01/03/2007;28/02/2007;09/01/2019;202627;RAV 4;RAV4 D-4D 2.2 SOL;2006;2.2;NEGRO
9704137#1;male;;DOS HERMANAS;Sevilla;41702;INFIEL;08/05/2015;08/05/2015;27/12/2018;15/05/2019;79948;VERSO;VERSO 115D Advance 7 Plazas;2014;1.6;Blanco Classic
9703521#1;male;;FUENTE OBEJUNA;C¢rdoba;14290;INFIEL;;27/02/2006;27/02/2006;11/12/2018;185147;AVENSIS;AVENSIS CS 150D Executive;2003;2.2;BURDEOS MICA M
9702018#1;female;29/12/1974;LA ALGABA;Sevilla;41980;FIEL;;28/12/2018;28/12/2018;05/05/2022;26342;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2019;2.5;Rojo Tokio
969966#1;male;11/01/1980;SEVILLA;Sevilla;41020;FIEL;;31/05/2019;31/05/2019;30/09/2021;39832;RAV 4;RAV4 HYBRID 4X2 EXECUTIVE;2020;2.5;Azul Ori¢n
9673869#1;female;03/10/1958;Mairena del Alcor;Sevilla;41510;INFIEL;;27/12/2018;27/12/2018;26/06/2020;18841;AYGO X CROSS;AYGO 5P 70 M/T X-PLAY;2018;1.0;x-blanco
9671328#1;male;10/05/1980;TOMARES;Sevilla;41940;FIEL;02/08/2019;02/08/2019;26/10/2020;30/08/2021;30186;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Bitono Blanco Perlado y Techo negro
9670422#1;female;13/10/1963;;;;FIEL;11/01/2019;11/01/2019;11/01/2019;27/01/2022;57921;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2019;2.5;Azul Medianoche
9669390#1;male;02/11/1980;TOMARES;Sevilla;41940;FIEL;;30/10/2019;30/10/2019;05/05/2022;28954;RAV 4;RAV4 HYBRID 4X4 ADVANCE;2020;2.5;Gris Grafito
9646216#1;male;;;;;INFIEL;;02/11/2007;30/10/2007;18/12/2018;165203;AVENSIS;AVENSIS 2.0 D4D 126 WG SOL;2007;2.0 High;Gris Mica
9645723#1;male;21/01/1956;LOS PALACIOS Y VILLAFRANCA;Sevilla;41720;FIEL;08/02/2018;08/02/2018;27/12/2018;02/12/2021;32706;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2018;2.5;Negro Azabache
9644305#1;female;;MADRID;Madrid;28002;INFIEL;23/09/2011;23/09/2011;23/09/2011;18/12/2018;73410;YARIS;YARIS 100 5P City;2011;1.33;Negro Azabache
9616258#1;male;;DOS HERMANAS;Sevilla;41704;INFIEL;24/08/2012;29/08/2012;27/08/2012;13/12/2018;143605;AURIS;AURIS 1.4 D4D DPF 5P ACTIVE;2012;1.4 LOW;Azul Abisal
9610198#1;female;16/01/1978;ISLA MAYOR;Sevilla;41140;FIEL;26/12/2018;26/12/2018;26/12/2018;28/03/2022;22512;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Blanco Perlado
9610162#1;male;;CASTELLAR;JaÇn;23260;INFIEL;;23/09/2005;22/09/2005;17/12/2018;130589;COROLLA SEDAN;COROLLA 1.4 D4D 90 5P SOL;2004;1.4 High;AZUL OSCURO MICA MT
9610065#1;female;27/10/1994;TORRE DE LA REINA;Sevilla;41218;FIEL;27/12/2018;26/12/2018;26/12/2018;18/03/2022;1;YARIS;YARIS 1.0 5P LUNA;2019;1.0;Negro Azabache
9609095#1;male;04/01/1977;LA ALCORNOCOSA;Sevilla;41890;FIEL;27/12/2018;27/12/2018;27/12/2018;10/12/2021;67494;AURIS;AURIS hybrid Feel Edition;2019;1.8;Blanco Classic
9609055#1;male;;Villafranca de los Barros;Badajoz;6220;INFIEL;;12/08/2005;12/08/2005;17/12/2018;206401;VERSO;COROLLA VERSO D4D 116 7PZ SOL;2004;2.0 High;PLATA MT
959547#1;male;11/10/1963;SEVILLA;Sevilla;41011;FIEL;06/11/2017;06/11/2017;05/12/2017;19/01/2022;41619;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2018;2.5;Blanco Classic
9594191#1;female;28/06/1974;SEVILLA;Sevilla;41010;FIEL;26/09/2018;27/09/2018;26/09/2018;13/09/2021;36769;AURIS;AURIS hybrid Feel Edition;2019;1.8;Rojo Tokio
9593992#1;male;16/10/1986;PINZ‡N;Sevilla;41728;FIEL;19/03/2018;19/03/2018;13/08/2018;26/04/2022;1;HILUX;HILUX 2.4 D-4D AT DC VX;2016;2.4;Negro Cosmo
9592277#1;female;09/09/1980;EL VISO DEL ALCOR;Sevilla;41520;FIEL;12/01/2016;12/01/2016;13/12/2018;16/02/2022;118467;AURIS;AURIS hybrid Active;2015;1.8;Bronce Maroc
9592202#1;male;;SAN VICENTE DE BARAKALDO;Bizkaia;48903;FIEL;26/11/2010;26/11/2010;26/11/2010;04/08/2021;218469;LAND CRUISER;LAND CRUISER D-4D 5P VX MT;2010;3.0;BLANCO
9591932#1;male;30/04/1956;SEVILLA;Sevilla;41006;FIEL;09/07/2014;09/07/2014;12/12/2018;01/04/2022;52806;AURIS;AURIS 5P 130 M/T ACTIVE;2014;1.6;Blanco Classic
9591588#1;female;07/05/1967;BORMUJOS;Sevilla;41930;FIEL;20/06/2017;20/06/2017;26/11/2018;18/10/2021;57378;AYGO X CROSS;AYGO 5P 70 A/T X-PLAY;2017;1.0;x-blanco
9591070#1;male;14/09/1964;ALCALµ DE GUADAIRA;Sevilla;41500;FIEL;24/03/2021;25/03/2021;24/03/2021;21/12/2021;46465;TOYOTA C-HR;TOYOTA C-HR 180H eCVT 5P ADV;2021;2.0 High;Bitono Gris Celestita y Techo negro
9590967#1;male;;SEVILLA;Sevilla;41007;FIEL;25/06/2014;26/06/2014;25/06/2014;25/11/2019;100787;AURIS;AURIS 5P 90D M/T ACTIVE;2013;1.4 LOW;Blanco Classic
9590967#1;male;;SEVILLA;Sevilla;41007;FIEL;29/01/2019;29/01/2019;12/01/2022;27/06/2022;59673;TOYOTA C-HR;TOYOTA C-HR 125H eCVT 5 P. ADV;2019;1.8;Gris Grafito
9590928#1;female;23/02/1974;CARMONA;Sevilla;41410;INFIEL;;;;07/12/2018;203555;AVENSIS;AVENSIS 2.0 D4D 116 WG EXEC;2003;2.0 High;GRIS OSCURO MM
9590386#1;male;08/06/1967;TOMARES;Sevilla;41940;INFIEL;07/04/2014;07/04/2014;22/06/2018;19/06/2018;69995;AURIS;AURIS 5P 90D M/T ACTIVE;2013;1.4 LOW;Blanco Classic
9590194#1;N/A;;SEVILLA;Sevilla;41013;FIEL;17/06/2003;31/05/2003;31/05/2003;21/06/2022;173678;AVENSIS;AVENSIS 1.8 4P SOL;2003;1.8;PLATA MT
9588234#1;female;;SANTAELLA;C¢rdoba;14546;INFIEL;;07/06/2005;19/05/2014;10/12/2018;273335;AVENSIS;AVENSIS 2.0 D4D 116 5P SOL;2003;2.0 High;GRIS OSCURO MICA M
9588128#1;male;;DISEMINADO;Sevilla;41500;FIEL;27/04/2018;30/04/2018;27/04/2018;27/04/2022;127580;LAND CRUISER;LAND CRUISER 204D VX 5P T/A;2018;2.8;Marr¢n GlacÇ
9587440#1;male;10/02/1954;GINêS;Sevilla;41960;FIEL;18/12/2018;18/12/2018;18/12/2018;30/11/2021;35510;RAV 4;RAV4 HYBRID 4X2 ADVANCE;2019;2.5;Blanco Classic
9587413#1;male;;ALCALµ DE GUADAIRA;Sevilla;41500;FIEL;05/01/2010;30/10/2009;30/10/2009;26/08/2021;279315;PRIUS;PRIUS ADVANCE;2009;1.8;Blanco Perlado
